START TRANSACTION;
auto commit mode: off
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#31'
	and p_type not like 'LARGE POLISHED%'
	and p_size in (43, 33, 46, 18, 9, 32, 29, 48)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
+------------+---------------------------+--------+--------------+
| p_brand    | p_type                    | p_size | supplier_cnt |
| Brand#21   | MEDIUM BRUSHED TIN        |     32 |          480 |
| Brand#21   | MEDIUM PLATED TIN         |     46 |          480 |
| Brand#21   | PROMO BURNISHED COPPER    |      9 |          480 |
| Brand#21   | PROMO BURNISHED STEEL     |     46 |          480 |
| Brand#21   | PROMO POLISHED BRASS      |     33 |          480 |
| Brand#21   | SMALL ANODIZED STEEL      |     33 |          480 |
| Brand#21   | SMALL BRUSHED NICKEL      |     18 |          480 |
| Brand#21   | SMALL BRUSHED STEEL       |     29 |          480 |
| Brand#21   | SMALL BRUSHED TIN         |     43 |          480 |
| Brand#21   | SMALL PLATED TIN          |      9 |          480 |
| Brand#21   | SMALL POLISHED STEEL      |     18 |          480 |
| Brand#22   | ECONOMY ANODIZED STEEL    |      9 |          480 |
| Brand#22   | LARGE ANODIZED BRASS      |     33 |          480 |
| Brand#22   | LARGE BURNISHED TIN       |     33 |          480 |
| Brand#22   | MEDIUM BRUSHED STEEL      |      9 |          480 |
| Brand#22   | MEDIUM BRUSHED STEEL      |     32 |          480 |
| Brand#22   | MEDIUM BURNISHED TIN      |     29 |          480 |
| Brand#22   | MEDIUM PLATED BRASS       |     29 |          480 |
| Brand#22   | MEDIUM POLISHED COPPER    |     43 |          480 |
| Brand#22   | MEDIUM POLISHED NICKEL    |     46 |          480 |
| Brand#22   | PROMO BURNISHED TIN       |     29 |          480 |
| Brand#22   | PROMO BURNISHED TIN       |     43 |          480 |
| Brand#22   | SMALL ANODIZED COPPER     |     43 |          480 |
| Brand#22   | SMALL BRUSHED TIN         |     32 |          480 |
| Brand#22   | SMALL BURNISHED BRASS     |     29 |          480 |
| Brand#22   | SMALL PLATED NICKEL       |     33 |          480 |
| Brand#22   | STANDARD ANODIZED TIN     |     33 |          480 |
| Brand#22   | STANDARD PLATED STEEL     |     18 |          480 |
| Brand#22   | STANDARD PLATED TIN       |      9 |          480 |
| Brand#22   | STANDARD POLISHED BRASS   |     48 |          480 |
| Brand#23   | ECONOMY PLATED COPPER     |     46 |          480 |
| Brand#23   | LARGE ANODIZED NICKEL     |     48 |          480 |
| Brand#23   | LARGE ANODIZED STEEL      |     33 |          480 |
| Brand#23   | LARGE ANODIZED TIN        |     33 |          480 |
| Brand#23   | MEDIUM PLATED BRASS       |     48 |          480 |
| Brand#23   | PROMO ANODIZED COPPER     |      9 |          480 |
| Brand#23   | PROMO BRUSHED TIN         |     18 |          480 |
| Brand#23   | SMALL ANODIZED STEEL      |     32 |          480 |
| Brand#23   | SMALL POLISHED BRASS      |     43 |          480 |
| Brand#23   | STANDARD BRUSHED BRASS    |     33 |          480 |
| Brand#23   | STANDARD BURNISHED BRASS  |     33 |          480 |
| Brand#23   | STANDARD BURNISHED TIN    |     29 |          480 |
| Brand#23   | STANDARD POLISHED BRASS   |     18 |          480 |
| Brand#24   | ECONOMY BRUSHED BRASS     |     33 |          480 |
| Brand#24   | ECONOMY BRUSHED COPPER    |     48 |          480 |
| Brand#24   | ECONOMY BURNISHED BRASS   |     29 |          480 |
| Brand#24   | LARGE ANODIZED STEEL      |     32 |          480 |
| Brand#24   | MEDIUM BRUSHED NICKEL     |     46 |          480 |
| Brand#24   | MEDIUM BURNISHED NICKEL   |     43 |          480 |
| Brand#24   | MEDIUM POLISHED STEEL     |     46 |          480 |
| Brand#24   | PROMO BRUSHED TIN         |     43 |          480 |
| Brand#24   | STANDARD ANODIZED NICKEL  |     48 |          480 |
| Brand#24   | STANDARD BRUSHED BRASS    |     43 |          480 |
| Brand#25   | ECONOMY PLATED BRASS      |     43 |          480 |
| Brand#25   | ECONOMY PLATED STEEL      |     32 |          480 |
| Brand#25   | ECONOMY PLATED TIN        |     46 |          480 |
| Brand#25   | LARGE ANODIZED NICKEL     |     33 |          480 |
| Brand#25   | LARGE BRUSHED COPPER      |     33 |          480 |
| Brand#25   | LARGE PLATED STEEL        |     48 |          480 |
| Brand#25   | MEDIUM ANODIZED COPPER    |     46 |          480 |
| Brand#25   | PROMO ANODIZED STEEL      |     29 |          480 |
| Brand#25   | PROMO BURNISHED NICKEL    |     32 |          480 |
| Brand#25   | SMALL ANODIZED COPPER     |     32 |          480 |
| Brand#25   | SMALL PLATED TIN          |     48 |          480 |
| Brand#25   | STANDARD BRUSHED NICKEL   |     18 |          480 |
| Brand#25   | STANDARD BRUSHED NICKEL   |     29 |          480 |
| Brand#25   | STANDARD BRUSHED NICKEL   |     43 |          480 |
| Brand#25   | STANDARD BURNISHED STEEL  |     48 |          480 |
| Brand#25   | STANDARD PLATED NICKEL    |     32 |          480 |
| Brand#32   | ECONOMY PLATED TIN        |     43 |          480 |
| Brand#32   | LARGE BRUSHED COPPER      |     33 |          480 |
| Brand#32   | LARGE PLATED BRASS        |     18 |          480 |
| Brand#32   | LARGE PLATED TIN          |     29 |          480 |
| Brand#32   | MEDIUM BURNISHED BRASS    |     29 |          480 |
| Brand#32   | SMALL ANODIZED BRASS      |     48 |          480 |
| Brand#32   | SMALL ANODIZED TIN        |     29 |          480 |
| Brand#32   | SMALL POLISHED COPPER     |     48 |          480 |
| Brand#33   | LARGE ANODIZED BRASS      |     33 |          480 |
| Brand#33   | LARGE BRUSHED TIN         |     33 |          480 |
| Brand#33   | LARGE PLATED NICKEL       |      9 |          480 |
| Brand#33   | MEDIUM ANODIZED NICKEL    |     29 |          480 |
| Brand#33   | MEDIUM BRUSHED NICKEL     |     32 |          480 |
| Brand#33   | MEDIUM PLATED BRASS       |     18 |          480 |
| Brand#33   | PROMO ANODIZED COPPER     |      9 |          480 |
| Brand#33   | PROMO ANODIZED NICKEL     |     43 |          480 |
| Brand#33   | PROMO BRUSHED TIN         |      9 |          480 |
| Brand#33   | PROMO PLATED NICKEL       |     46 |          480 |
| Brand#33   | PROMO PLATED TIN          |     43 |          480 |
| Brand#33   | SMALL PLATED COPPER       |     43 |          480 |
| Brand#33   | SMALL PLATED TIN          |      9 |          480 |
| Brand#33   | SMALL POLISHED BRASS      |     18 |          480 |
| Brand#33   | STANDARD BRUSHED TIN      |      9 |          480 |
| Brand#33   | STANDARD PLATED NICKEL    |     18 |          480 |
| Brand#33   | STANDARD POLISHED NICKEL  |     33 |          480 |
| Brand#34   | ECONOMY PLATED NICKEL     |     46 |          480 |
| Brand#34   | ECONOMY PLATED STEEL      |      9 |          480 |
| Brand#34   | LARGE ANODIZED BRASS      |     46 |          480 |
| Brand#34   | LARGE BURNISHED TIN       |     48 |          480 |
| Brand#34   | LARGE PLATED BRASS        |     48 |          480 |
| Brand#34   | LARGE PLATED STEEL        |     43 |          480 |
| Brand#34   | MEDIUM PLATED COPPER      |     29 |          480 |
| Brand#34   | PROMO ANODIZED BRASS      |     48 |          480 |
| Brand#34   | SMALL BURNISHED STEEL     |     32 |          480 |
| Brand#34   | STANDARD ANODIZED COPPER  |     33 |          480 |
| Brand#34   | STANDARD BURNISHED TIN    |      9 |          480 |
| Brand#34   | STANDARD PLATED BRASS     |     43 |          480 |
| Brand#35   | ECONOMY ANODIZED STEEL    |     43 |          480 |
| Brand#35   | ECONOMY BRUSHED COPPER    |     33 |          480 |
| Brand#35   | ECONOMY BURNISHED NICKEL  |     33 |          480 |
| Brand#35   | ECONOMY PLATED COPPER     |     43 |          480 |
| Brand#35   | MEDIUM BRUSHED NICKEL     |     29 |          480 |
| Brand#35   | MEDIUM PLATED STEEL       |     33 |          480 |
| Brand#35   | PROMO ANODIZED COPPER     |     32 |          480 |
| Brand#35   | PROMO BRUSHED NICKEL      |     48 |          480 |
| Brand#35   | PROMO BURNISHED NICKEL    |     46 |          480 |
| Brand#35   | PROMO BURNISHED STEEL     |     46 |          480 |
| Brand#35   | SMALL BURNISHED STEEL     |     18 |          480 |
| Brand#35   | SMALL PLATED BRASS        |     33 |          480 |
| Brand#35   | SMALL POLISHED BRASS      |     29 |          480 |
| Brand#35   | STANDARD BURNISHED BRASS  |      9 |          480 |
| Brand#35   | STANDARD PLATED NICKEL    |     46 |          480 |
| Brand#41   | ECONOMY ANODIZED COPPER   |      9 |          480 |
| Brand#41   | ECONOMY BRUSHED BRASS     |     48 |          480 |
| Brand#41   | ECONOMY POLISHED NICKEL   |     29 |          480 |
| Brand#41   | LARGE BRUSHED BRASS       |      9 |          480 |
| Brand#41   | MEDIUM BRUSHED STEEL      |     32 |          480 |
| Brand#41   | MEDIUM BURNISHED STEEL    |      9 |          480 |
| Brand#41   | MEDIUM PLATED TIN         |     33 |          480 |
| Brand#41   | MEDIUM POLISHED STEEL     |     46 |          480 |
| Brand#41   | PROMO ANODIZED BRASS      |     43 |          480 |
| Brand#41   | PROMO BRUSHED STEEL       |     48 |          480 |
| Brand#41   | PROMO BRUSHED TIN         |     32 |          480 |
| Brand#41   | PROMO BURNISHED NICKEL    |      9 |          480 |
| Brand#41   | SMALL ANODIZED NICKEL     |     43 |          480 |
| Brand#41   | SMALL ANODIZED TIN        |     18 |          480 |
| Brand#41   | SMALL POLISHED NICKEL     |     33 |          480 |
| Brand#41   | STANDARD ANODIZED BRASS   |     46 |          480 |
| Brand#41   | STANDARD POLISHED COPPER  |     32 |          480 |
| Brand#42   | ECONOMY BURNISHED NICKEL  |     32 |          480 |
| Brand#42   | LARGE ANODIZED STEEL      |     33 |          480 |
| Brand#42   | LARGE BURNISHED TIN       |      9 |          480 |
| Brand#42   | MEDIUM PLATED BRASS       |     48 |          480 |
| Brand#42   | MEDIUM POLISHED COPPER    |     32 |          480 |
| Brand#42   | MEDIUM POLISHED TIN       |     46 |          480 |
| Brand#42   | PROMO ANODIZED COPPER     |     29 |          480 |
| Brand#42   | PROMO BURNISHED NICKEL    |      9 |          480 |
| Brand#42   | PROMO BURNISHED TIN       |     32 |          480 |
| Brand#42   | PROMO PLATED BRASS        |     33 |          480 |
| Brand#42   | SMALL ANODIZED TIN        |      9 |          480 |
| Brand#42   | SMALL ANODIZED TIN        |     46 |          480 |
| Brand#42   | SMALL BRUSHED BRASS       |     32 |          480 |
| Brand#42   | SMALL PLATED NICKEL       |     33 |          480 |
| Brand#42   | SMALL POLISHED TIN        |     29 |          480 |
| Brand#42   | STANDARD PLATED BRASS     |     48 |          480 |
| Brand#42   | STANDARD PLATED STEEL     |     48 |          480 |
| Brand#43   | ECONOMY ANODIZED NICKEL   |     18 |          480 |
| Brand#43   | ECONOMY ANODIZED STEEL    |     33 |          480 |
| Brand#43   | ECONOMY BURNISHED STEEL   |     43 |          480 |
| Brand#43   | ECONOMY PLATED TIN        |     33 |          480 |
| Brand#43   | LARGE ANODIZED STEEL      |     46 |          480 |
| Brand#43   | LARGE ANODIZED TIN        |      9 |          480 |
| Brand#43   | MEDIUM BURNISHED STEEL    |     43 |          480 |
| Brand#43   | MEDIUM PLATED COPPER      |     48 |          480 |
| Brand#43   | PROMO BURNISHED COPPER    |     29 |          480 |
| Brand#43   | PROMO BURNISHED STEEL     |     18 |          480 |
| Brand#43   | SMALL ANODIZED STEEL      |     48 |          480 |
| Brand#43   | SMALL ANODIZED TIN        |     33 |          480 |
| Brand#43   | STANDARD ANODIZED TIN     |     32 |          480 |
| Brand#44   | ECONOMY BRUSHED STEEL     |     33 |          480 |
| Brand#44   | ECONOMY BRUSHED TIN       |     48 |          480 |
| Brand#44   | ECONOMY PLATED COPPER     |     18 |          480 |
| Brand#44   | LARGE ANODIZED NICKEL     |     18 |          480 |
| Brand#44   | LARGE PLATED NICKEL       |     46 |          480 |
| Brand#44   | MEDIUM POLISHED BRASS     |     48 |          480 |
| Brand#44   | PROMO ANODIZED BRASS      |     46 |          480 |
| Brand#44   | PROMO BURNISHED BRASS     |     43 |          480 |
| Brand#44   | PROMO BURNISHED NICKEL    |     33 |          480 |
| Brand#44   | PROMO BURNISHED NICKEL    |     43 |          480 |
| Brand#44   | PROMO BURNISHED TIN       |     33 |          480 |
| Brand#44   | STANDARD ANODIZED NICKEL  |     43 |          480 |
| Brand#44   | STANDARD BURNISHED BRASS  |     43 |          480 |
| Brand#44   | STANDARD BURNISHED BRASS  |     48 |          480 |
| Brand#44   | STANDARD BURNISHED COPPER |     33 |          480 |
| Brand#45   | ECONOMY BURNISHED NICKEL  |     48 |          480 |
| Brand#45   | ECONOMY POLISHED NICKEL   |     46 |          480 |
| Brand#45   | LARGE ANODIZED BRASS      |     29 |          480 |
| Brand#45   | LARGE PLATED NICKEL       |     48 |          480 |
| Brand#45   | MEDIUM PLATED BRASS       |     32 |          480 |
| Brand#45   | PROMO ANODIZED COPPER     |     18 |          480 |
| Brand#45   | PROMO POLISHED BRASS      |     32 |          480 |
| Brand#45   | PROMO POLISHED STEEL      |      9 |          480 |
| Brand#45   | SMALL BRUSHED TIN         |     33 |          480 |
| Brand#45   | STANDARD ANODIZED COPPER  |     43 |          480 |
| Brand#45   | STANDARD ANODIZED NICKEL  |     32 |          480 |
| Brand#45   | STANDARD ANODIZED TIN     |     48 |          480 |
| Brand#45   | STANDARD BRUSHED NICKEL   |     33 |          480 |
| Brand#51   | ECONOMY BRUSHED BRASS     |     29 |          480 |
| Brand#51   | ECONOMY BURNISHED TIN     |      9 |          480 |
| Brand#51   | ECONOMY BURNISHED TIN     |     33 |          480 |
| Brand#51   | ECONOMY POLISHED TIN      |     32 |          480 |
| Brand#51   | LARGE BURNISHED NICKEL    |     43 |          480 |
| Brand#51   | LARGE PLATED BRASS        |     29 |          480 |
| Brand#51   | PROMO ANODIZED STEEL      |      9 |          480 |
| Brand#51   | PROMO ANODIZED STEEL      |     29 |          480 |
| Brand#51   | PROMO BURNISHED STEEL     |     29 |          480 |
| Brand#51   | SMALL BRUSHED BRASS       |      9 |          480 |
| Brand#51   | SMALL BRUSHED NICKEL      |     48 |          480 |
| Brand#51   | STANDARD POLISHED BRASS   |     33 |          480 |
| Brand#52   | LARGE BRUSHED NICKEL      |     48 |          480 |
| Brand#52   | LARGE BRUSHED TIN         |     43 |          480 |
| Brand#52   | MEDIUM ANODIZED TIN       |     29 |          480 |
| Brand#52   | MEDIUM BRUSHED COPPER     |     48 |          480 |
| Brand#52   | PROMO BURNISHED BRASS     |     29 |          480 |
| Brand#52   | SMALL ANODIZED NICKEL     |     32 |          480 |
| Brand#52   | SMALL PLATED TIN          |     29 |          480 |
| Brand#52   | STANDARD BRUSHED BRASS    |     18 |          480 |
| Brand#52   | STANDARD POLISHED NICKEL  |     46 |          480 |
| Brand#53   | LARGE ANODIZED BRASS      |     32 |          480 |
| Brand#53   | LARGE ANODIZED NICKEL     |     33 |          480 |
| Brand#53   | LARGE PLATED NICKEL       |     32 |          480 |
| Brand#53   | MEDIUM ANODIZED STEEL     |     32 |          480 |
| Brand#53   | MEDIUM BRUSHED STEEL      |     33 |          480 |
| Brand#53   | PROMO PLATED STEEL        |     48 |          480 |
| Brand#53   | PROMO POLISHED COPPER     |     33 |          480 |
| Brand#53   | SMALL ANODIZED TIN        |     46 |          480 |
| Brand#53   | STANDARD BURNISHED COPPER |     43 |          480 |
| Brand#53   | STANDARD PLATED BRASS     |     18 |          480 |
| Brand#54   | ECONOMY POLISHED BRASS    |     29 |          480 |
| Brand#54   | LARGE PLATED NICKEL       |     43 |          480 |
| Brand#54   | MEDIUM PLATED COPPER      |     48 |          480 |
| Brand#54   | MEDIUM PLATED TIN         |     33 |          480 |
| Brand#54   | MEDIUM POLISHED STEEL     |     32 |          480 |
| Brand#54   | PROMO ANODIZED TIN        |     18 |          480 |
| Brand#54   | PROMO BRUSHED COPPER      |     32 |          480 |
| Brand#54   | PROMO BRUSHED TIN         |     46 |          480 |
| Brand#54   | PROMO BURNISHED BRASS     |     29 |          480 |
| Brand#54   | PROMO BURNISHED COPPER    |     48 |          480 |
| Brand#54   | SMALL BRUSHED BRASS       |      9 |          480 |
| Brand#54   | SMALL BRUSHED STEEL       |     46 |          480 |
| Brand#54   | SMALL BURNISHED STEEL     |     33 |          480 |
| Brand#54   | STANDARD ANODIZED TIN     |      9 |          480 |
| Brand#54   | STANDARD ANODIZED TIN     |     33 |          480 |
| Brand#54   | STANDARD BRUSHED TIN      |     43 |          480 |
| Brand#54   | STANDARD PLATED COPPER    |     29 |          480 |
| Brand#54   | STANDARD PLATED COPPER    |     32 |          480 |
| Brand#55   | ECONOMY PLATED STEEL      |     46 |          480 |
| Brand#55   | LARGE PLATED COPPER       |      9 |          480 |
| Brand#55   | MEDIUM POLISHED COPPER    |      9 |          480 |
| Brand#55   | PROMO ANODIZED TIN        |     18 |          480 |
| Brand#55   | SMALL BRUSHED COPPER      |      9 |          480 |
| Brand#55   | SMALL BURNISHED NICKEL    |     33 |          480 |
| Brand#55   | SMALL PLATED NICKEL       |     18 |          480 |
| Brand#55   | SMALL POLISHED BRASS      |     33 |          480 |
| Brand#55   | STANDARD ANODIZED TIN     |     46 |          480 |
| Brand#55   | STANDARD BURNISHED NICKEL |     18 |          480 |
| Brand#55   | STANDARD PLATED STEEL     |     32 |          480 |
| Brand#55   | STANDARD POLISHED COPPER  |     33 |          480 |
| Brand#11   | LARGE BRUSHED COPPER      |     29 |          479 |
| Brand#11   | MEDIUM ANODIZED BRASS     |     48 |          479 |
| Brand#11   | SMALL BURNISHED COPPER    |     43 |          479 |
| Brand#12   | LARGE BURNISHED COPPER    |     32 |          479 |
| Brand#12   | PROMO ANODIZED BRASS      |     43 |          479 |
| Brand#12   | PROMO POLISHED BRASS      |     29 |          479 |
| Brand#13   | MEDIUM BURNISHED STEEL    |     43 |          479 |
| Brand#13   | MEDIUM BURNISHED TIN      |      9 |          479 |
| Brand#13   | PROMO ANODIZED NICKEL     |     46 |          479 |
| Brand#13   | SMALL BRUSHED NICKEL      |     43 |          479 |
| Brand#13   | SMALL POLISHED NICKEL     |     32 |          479 |
| Brand#13   | STANDARD POLISHED TIN     |     46 |          479 |
| Brand#14   | MEDIUM BURNISHED COPPER   |     48 |          479 |
| Brand#14   | MEDIUM BURNISHED TIN      |     43 |          479 |
| Brand#14   | PROMO ANODIZED COPPER     |     29 |          479 |
| Brand#14   | SMALL BURNISHED COPPER    |     18 |          479 |
| Brand#14   | SMALL POLISHED NICKEL     |     29 |          479 |
| Brand#15   | ECONOMY POLISHED BRASS    |     48 |          479 |
| Brand#15   | ECONOMY POLISHED TIN      |     32 |          479 |
| Brand#21   | ECONOMY ANODIZED COPPER   |      9 |          479 |
| Brand#21   | PROMO PLATED NICKEL       |     43 |          479 |
| Brand#21   | STANDARD ANODIZED TIN     |     32 |          479 |
| Brand#22   | ECONOMY ANODIZED TIN      |     33 |          479 |
| Brand#22   | ECONOMY BRUSHED STEEL     |     32 |          479 |
| Brand#22   | ECONOMY BURNISHED COPPER  |     33 |          479 |
| Brand#22   | SMALL BRUSHED COPPER      |     46 |          479 |
| Brand#22   | SMALL PLATED STEEL        |     32 |          479 |
| Brand#22   | STANDARD BRUSHED COPPER   |      9 |          479 |
| Brand#22   | STANDARD BRUSHED COPPER   |     43 |          479 |
| Brand#23   | LARGE BURNISHED TIN       |      9 |          479 |
| Brand#23   | MEDIUM ANODIZED COPPER    |     48 |          479 |
| Brand#23   | MEDIUM POLISHED BRASS     |     32 |          479 |
| Brand#23   | PROMO PLATED TIN          |     43 |          479 |
| Brand#24   | LARGE PLATED BRASS        |     29 |          479 |
| Brand#24   | MEDIUM BURNISHED BRASS    |     43 |          479 |
| Brand#24   | PROMO POLISHED STEEL      |      9 |          479 |
| Brand#24   | SMALL POLISHED COPPER     |     18 |          479 |
| Brand#24   | SMALL POLISHED NICKEL     |     18 |          479 |
| Brand#25   | ECONOMY ANODIZED TIN      |     32 |          479 |
| Brand#25   | PROMO ANODIZED BRASS      |      9 |          479 |
| Brand#25   | STANDARD ANODIZED NICKEL  |      9 |          479 |
| Brand#32   | LARGE ANODIZED COPPER     |      9 |          479 |
| Brand#32   | LARGE BRUSHED STEEL       |      9 |          479 |
| Brand#32   | MEDIUM PLATED COPPER      |     29 |          479 |
| Brand#32   | PROMO BRUSHED STEEL       |     32 |          479 |
| Brand#32   | SMALL PLATED NICKEL       |     48 |          479 |
| Brand#32   | SMALL PLATED STEEL        |     32 |          479 |
| Brand#32   | SMALL PLATED TIN          |     29 |          479 |
| Brand#32   | STANDARD POLISHED COPPER  |     33 |          479 |
| Brand#33   | MEDIUM BURNISHED NICKEL   |     43 |          479 |
| Brand#33   | MEDIUM PLATED NICKEL      |     32 |          479 |
| Brand#33   | MEDIUM POLISHED BRASS     |     33 |          479 |
| Brand#33   | PROMO BURNISHED STEEL     |     32 |          479 |
| Brand#33   | PROMO BURNISHED TIN       |     43 |          479 |
| Brand#33   | PROMO POLISHED TIN        |     29 |          479 |
| Brand#33   | SMALL POLISHED COPPER     |     33 |          479 |
| Brand#33   | STANDARD ANODIZED TIN     |     33 |          479 |
| Brand#34   | ECONOMY ANODIZED COPPER   |     46 |          479 |
| Brand#34   | MEDIUM BURNISHED NICKEL   |      9 |          479 |
| Brand#34   | PROMO BRUSHED COPPER      |     29 |          479 |
| Brand#34   | PROMO PLATED STEEL        |     33 |          479 |
| Brand#34   | PROMO PLATED STEEL        |     43 |          479 |
| Brand#35   | LARGE BRUSHED NICKEL      |     18 |          479 |
| Brand#35   | PROMO ANODIZED BRASS      |     18 |          479 |
| Brand#35   | PROMO ANODIZED COPPER     |      9 |          479 |
| Brand#35   | SMALL PLATED STEEL        |     48 |          479 |
| Brand#35   | STANDARD ANODIZED COPPER  |     33 |          479 |
| Brand#41   | ECONOMY BRUSHED BRASS     |     18 |          479 |
| Brand#41   | LARGE BRUSHED TIN         |     33 |          479 |
| Brand#41   | MEDIUM ANODIZED BRASS     |     18 |          479 |
| Brand#41   | MEDIUM BRUSHED BRASS      |      9 |          479 |
| Brand#41   | STANDARD PLATED TIN       |     33 |          479 |
| Brand#42   | ECONOMY PLATED BRASS      |     18 |          479 |
| Brand#42   | PROMO ANODIZED TIN        |     29 |          479 |
| Brand#42   | STANDARD BURNISHED STEEL  |     46 |          479 |
| Brand#42   | STANDARD PLATED BRASS     |     32 |          479 |
| Brand#43   | MEDIUM ANODIZED BRASS     |     33 |          479 |
| Brand#43   | MEDIUM BURNISHED TIN      |     43 |          479 |
| Brand#43   | MEDIUM PLATED BRASS       |     43 |          479 |
| Brand#43   | PROMO ANODIZED BRASS      |     32 |          479 |
| Brand#43   | STANDARD BRUSHED COPPER   |     48 |          479 |
| Brand#43   | STANDARD PLATED STEEL     |      9 |          479 |
| Brand#44   | ECONOMY PLATED TIN        |     32 |          479 |
| Brand#44   | LARGE BURNISHED STEEL     |     33 |          479 |
| Brand#45   | LARGE BRUSHED BRASS       |     43 |          479 |
| Brand#45   | LARGE PLATED TIN          |     18 |          479 |
| Brand#45   | PROMO ANODIZED BRASS      |     33 |          479 |
| Brand#45   | STANDARD BRUSHED NICKEL   |     48 |          479 |
| Brand#45   | STANDARD BRUSHED STEEL    |     46 |          479 |
| Brand#45   | STANDARD PLATED BRASS     |      9 |          479 |
| Brand#45   | STANDARD POLISHED NICKEL  |     43 |          479 |
| Brand#51   | ECONOMY BRUSHED BRASS     |     46 |          479 |
| Brand#51   | SMALL BURNISHED STEEL     |     43 |          479 |
| Brand#52   | ECONOMY PLATED COPPER     |     48 |          479 |
| Brand#52   | LARGE BRUSHED NICKEL      |     18 |          479 |
| Brand#52   | LARGE BURNISHED BRASS     |     18 |          479 |
| Brand#52   | STANDARD ANODIZED TIN     |     32 |          479 |
| Brand#52   | STANDARD BURNISHED COPPER |     48 |          479 |
| Brand#53   | ECONOMY BRUSHED STEEL     |     46 |          479 |
| Brand#53   | ECONOMY POLISHED TIN      |     32 |          479 |
| Brand#53   | MEDIUM BRUSHED NICKEL     |     29 |          479 |
| Brand#53   | MEDIUM BURNISHED BRASS    |      9 |          479 |
| Brand#53   | PROMO POLISHED TIN        |     29 |          479 |
| Brand#53   | SMALL ANODIZED STEEL      |     33 |          479 |
| Brand#54   | ECONOMY BRUSHED COPPER    |     33 |          479 |
| Brand#54   | LARGE ANODIZED STEEL      |     32 |          479 |
| Brand#54   | PROMO PLATED STEEL        |     48 |          479 |
| Brand#54   | SMALL BRUSHED STEEL       |     18 |          479 |
| Brand#54   | STANDARD ANODIZED STEEL   |     33 |          479 |
| Brand#54   | STANDARD BURNISHED TIN    |     32 |          479 |
| Brand#55   | PROMO PLATED BRASS        |     43 |          479 |
| Brand#55   | STANDARD BRUSHED STEEL    |     32 |          479 |
| Brand#12   | SMALL BURNISHED COPPER    |     29 |          478 |
| Brand#14   | MEDIUM BURNISHED NICKEL   |      9 |          478 |
| Brand#14   | SMALL ANODIZED BRASS      |     48 |          478 |
| Brand#21   | PROMO PLATED TIN          |     33 |          478 |
| Brand#22   | STANDARD ANODIZED NICKEL  |     48 |          478 |
| Brand#23   | ECONOMY BRUSHED NICKEL    |     33 |          478 |
| Brand#24   | STANDARD BURNISHED NICKEL |      9 |          478 |
| Brand#25   | MEDIUM BURNISHED NICKEL   |      9 |          478 |
| Brand#32   | SMALL BURNISHED BRASS     |     43 |          478 |
| Brand#34   | PROMO ANODIZED COPPER     |     29 |          478 |
| Brand#41   | PROMO POLISHED TIN        |     32 |          478 |
| Brand#44   | MEDIUM BRUSHED BRASS      |     29 |          478 |
| Brand#44   | STANDARD BRUSHED TIN      |     33 |          478 |
| Brand#51   | PROMO BURNISHED COPPER    |     43 |          478 |
| Brand#51   | SMALL POLISHED STEEL      |     29 |          478 |
| Brand#13   | PROMO PLATED STEEL        |     46 |          477 |
| Brand#32   | SMALL POLISHED STEEL      |     33 |          477 |
| Brand#55   | MEDIUM BRUSHED COPPER     |     46 |          477 |
| Brand#11   | ECONOMY BRUSHED BRASS     |     33 |          476 |
| Brand#11   | ECONOMY BURNISHED TIN     |     43 |          476 |
| Brand#11   | ECONOMY PLATED TIN        |     43 |          476 |
| Brand#11   | ECONOMY POLISHED COPPER   |     29 |          476 |
| Brand#11   | LARGE ANODIZED TIN        |      9 |          476 |
| Brand#11   | MEDIUM POLISHED BRASS     |     46 |          476 |
| Brand#11   | PROMO ANODIZED TIN        |     43 |          476 |
| Brand#11   | PROMO BRUSHED BRASS       |     48 |          476 |
| Brand#11   | PROMO BURNISHED BRASS     |     33 |          476 |
| Brand#11   | PROMO PLATED BRASS        |     33 |          476 |
| Brand#11   | SMALL ANODIZED STEEL      |     33 |          476 |
| Brand#11   | SMALL PLATED BRASS        |     46 |          476 |
| Brand#11   | SMALL PLATED STEEL        |     43 |          476 |
| Brand#11   | SMALL POLISHED TIN        |     18 |          476 |
| Brand#11   | STANDARD PLATED COPPER    |     29 |          476 |
| Brand#11   | STANDARD PLATED COPPER    |     48 |          476 |
| Brand#12   | ECONOMY BRUSHED TIN       |     48 |          476 |
| Brand#12   | ECONOMY PLATED STEEL      |     46 |          476 |
| Brand#12   | ECONOMY POLISHED TIN      |      9 |          476 |
| Brand#12   | LARGE ANODIZED COPPER     |     18 |          476 |
| Brand#12   | LARGE BURNISHED NICKEL    |     32 |          476 |
| Brand#12   | MEDIUM ANODIZED BRASS     |     46 |          476 |
| Brand#12   | MEDIUM POLISHED COPPER    |     32 |          476 |
| Brand#12   | SMALL ANODIZED BRASS      |     29 |          476 |
| Brand#12   | SMALL BRUSHED TIN         |     48 |          476 |
